geneSymbol,numVariantes
CSMD2,8
PAPPA2,8
CACNA1E,8
CAMK4,8
TMEM196,8
PLCXD1,8
CMYA5,8
PRKCB,8
CEACAM1,8
ICOSLG,8
PTGS2,8
POM121,8
BHLHE22,8
FMN1,8
RTEL1,8
FRMD3,8
RP11-830F9.6,8
VGLL3,8
MASP1,8
DPP6,8
RP1,8
AC010203.1,8
BCL11B,8
TP63,8
AFAP1,8
GPR85,8
PRDM10,8
SLC11A2,8
SMARCC2,8
SPATA13,8
UBL3,8
CHD8,8
RP11-492D6.3,8
TEFM,8
NR1H2,8
CDH26,8
ZEB2,8
SDK1,8
RALGAPA1,8
RASGRF1,8
MYOCD,8
PPP2R1A,8
WDR17,8
RSPH9,8
AHRR,8
CCDC146,8
OR5L1,8
GLRA3,8
SESTD1,8
SCYL3,8
TBL1XR1,8
OR5L2,8
PAPLN,8
IGHG3,8
CLCNKB,8
EIF4G3,8
TRIM33,8
SELE,8
DSTYK,8
LRRFIP1,8
SLAIN2,8
CCNI,8
FGB,8
CENPU,8
MTRR,8
DMGDH,8
DAAM2,8
TWISTNB,8
TFPI2,8
GINS4,8
PRKDC,8
RAB2A,8
REXO4,8
UPF2,8
DNAJC9,8
UVRAG,8
MFAP5,8
MON2,8
CAND1,8
VPS33A,8
KTN1,8
UBR7,8
CTD-2008A1.1,8
GATM,8
ABR,8
MYO15B,8
RCN3,8
SS18L1,8
POLR3H,8
GALNT2,7
TLK1,7
KIF25,7
RP11-1220K2.2,7
NDRG1,7
SFTPA1,7
OTOG,7
SLCO2B1,7
RP11-22B23.1,7
GPRC5A,7
PPP2R5E,7
ANKRD30B,7
PARD6B,7
STPG1,7
NOTCH2,7
TNN,7
FZD5,7
JADE1,7
CREBRF,7
BTN3A3,7
MAK16,7
CACNB2,7
SPIRE1,7
RRBP1,7
LAMA5,7
COL6A2,7
HRNR,7
CHRM3,7
PRPF40A,7
CCZ1B,7
NAV2,7
FCHSD2,7
BAZ2A,7
ALDH1A2,7
NARG2,7
SMCR8,7
ZNF525,7
EP300,7
CD84,7
NCOA1,7
KLHL23,7
EPHA6,7
CDH6,7
HERC2,7
AKAP13,7
COL5A3,7
EMR2,7
CCDC93,7
MED12L,7
RAPGEF5,7
PXDNL,7
MDM2,7
RAB3IP,7
TLE3,7
LILRB3,7
GSTM5,7
LBR,7
ZNF496,7
RASGRP3,7
COL3A1,7
USP13,7
PARM1,7
FGF5,7
PTPN13,7
SPEF2,7
ATG12,7
TFEC,7
CAPN5,7
NAALAD2,7
PDZRN4,7
KIF1C,7
DSC1,7
WDR87,7
LILRB5,7
PLCB1,7
TANGO2,7
NTRK3,7
CASZ1,7
SWT1,7
COL9A1,7
ZNF277,7
SPTBN5,7
MAP4,7
CALN1,7
DOCK6,7
THSD7B,7
MAP1B,7
CYFIP2,7
TENM2,7
ARID1B,7
AGPAT4,7
OPRK1,7
ZC3H3,7
KRTAP5-4,7
TRHDE,7
PARP4P2,7
TMEM92,7
TBCD,7
EIF3L,7
CROCC,7
ARSK,7
NEDD9,7
TTC26,7
XKR6,7
ABCA1,7
RTKN2,7
CACNA2D4,7
PIEZO1,7
MLLT6,7
PHC3,7
ADAMTS6,7
MAST4,7
MUC21,7
STYX,7
PTPRS,7
HLA-DPA1,7
FAM131B,7
SON,7
UBR3,7
AC008060.7,7
EIF4EBP2,7
PEG3,7
SYDE2,7
TRIO,7
ETS1,7
NAP1L1,7
KIAA1033,7
ZNF804A,7
CAMK2D,7
ERBB2IP,7
TRERF1,7
SIM1,7
SVEP1,7
SOHLH1,7
LOXHD1,7
TCF4,7
IQGAP3,7
BCAN,7
ZC3H11A,7
UBXN2A,7
PHLDB2,7
